Time,Open,High,Low,Last,Change,%Chg,Volume
09/22/2021,436.05,440.03,433.747,437.86,4.23,+0.98%,102350100
09/21/2021,436.53,437.91,433.07,433.63,-0.41,-0.09%,92526100
09/20/2021,434.88,436.56,428.86,434.04,-7.36,-1.67%,166445500
09/17/2021,444.92,445.37,441.02,441.4,-5.77,-1.29%,118425000
09/16/2021,447.32,448.36,444.02,447.17,-0.71,-0.16%,77786700
09/15/2021,444.62,448.41,443.44,447.88,3.71,+0.84%,78792200
09/14/2021,448.12,448.34,443.22,444.17,-2.41,-0.54%,78197100
09/13/2021,448.64,448.92,444.11,446.58,1.14,+0.26%,83738600
09/10/2021,451.04,451.49,445.31,445.44,-3.54,-0.79%,89948100
09/09/2021,450.7,452.57,448.72,448.98,-1.93,-0.43%,57970400
09/08/2021,450.89,451.67,448.86,450.91,-0.55,-0.12%,56181900
09/07/2021,452.71,452.81,450.7423,451.46,-1.62,-0.36%,51671500
09/03/2021,451.98,453.63,451.55,453.08,-0.11,-0.02%,47234300
09/02/2021,453.32,454.05,451.91,453.19,1.39,+0.31%,42830800
09/01/2021,452.56,453.11,451.545,451.8,0.24,+0.05%,48721300
08/31/2021,452.13,452.49,450.92,451.56,-0.67,-0.15%,59300200
08/30/2021,450.97,453.07,450.71,452.23,1.98,+0.44%,48357300
08/27/2021,447.12,450.65,447.06,450.25,3.99,+0.89%,77235104
08/26/2021,448.61,448.86,446.16,446.26,-2.65,-0.59%,57829500
08/25/2021,448.17,449.457,447.77,448.91,0.94,+0.21%,40529700
08/24/2021,447.97,448.54,447.42,447.97,0.71,+0.16%,38744700
08/23/2021,445.16,448.23,443.4355,447.26,3.9,+0.88%,54973000
08/20/2021,440.23,443.71,439.71,443.36,3.5,+0.80%,72008704
08/19/2021,436.27,441.14,436.12,439.86,0.68,+0.15%,92812200
08/18/2021,442.96,444.625,438.92,439.18,-4.86,-1.09%,89351904
08/17/2021,444.24,444.96,440.85,444.04,-2.93,-0.66%,92673904
08/16/2021,444.53,447.11,442.87,446.97,1.05,+0.24%,73930800
08/13/2021,445.59,445.94,445.07,445.92,0.81,+0.18%,39470200
08/12/2021,443.62,445.2572,442.66,445.11,1.33,+0.30%,38942400
08/11/2021,443.82,443.882,442.62,443.78,1.1,+0.25%,44034300
08/10/2021,442.61,443.44,441.88,442.68,0.55,+0.12%,43339200
08/09/2021,442.46,442.795,441.31,442.13,-0.36,-0.08%,41222500
08/06/2021,442.1,442.94,441.8,442.49,0.73,+0.17%,46930000
08/05/2021,440.22,441.85,439.88,441.76,2.78,+0.63%,38969600
08/04/2021,439.78,441.1243,438.73,438.98,-2.17,-0.49%,46732200
08/03/2021,438.44,441.28,436.1,441.15,3.56,+0.81%,58053800
08/02/2021,440.34,440.93,437.21,437.59,-0.92,-0.21%,58783200
07/30/2021,437.91,440.06,437.77,438.51,-2.14,-0.49%,68951200
07/29/2021,439.815,441.8,439.81,440.65,1.82,+0.41%,47435300
07/28/2021,439.68,440.3,437.31,438.83,-0.18,-0.04%,52472300
07/27/2021,439.91,439.94,435.99,439.01,-2.01,-0.46%,67397104
07/26/2021,439.31,441.03,439.26,441.02,1.08,+0.25%,43719100
07/23/2021,437.52,440.3,436.79,439.94,4.48,+1.03%,63766600
07/22/2021,434.74,435.72,433.69,435.46,0.91,+0.21%,47878500
07/21/2021,432.34,434.7,431.0111,434.55,3.49,+0.81%,64724300
07/20/2021,425.68,432.42,424.83,431.06,6.09,+1.43%,99608096
07/19/2021,426.19,431.4089,421.97,424.97,-6.37,-1.48%,147987008
07/16/2021,436.01,436.06,430.92,431.34,-3.41,-0.78%,75874600
07/15/2021,434.81,435.53,432.72,434.75,-1.49,-0.34%,55126300
07/14/2021,437.4,437.92,434.91,436.24,0.65,+0.15%,64130300
07/13/2021,436.24,437.84,435.31,435.59,-1.49,-0.34%,52911300
07/12/2021,435.43,437.35,434.97,437.08,1.56,+0.36%,52889500
07/09/2021,432.53,435.84,430.714,435.52,4.6,+1.07%,76238496
07/08/2021,428.78,431.73,427.52,430.92,-3.54,-0.81%,97595200
07/07/2021,433.66,434.76,431.51,434.46,1.53,+0.35%,63549400
07/06/2021,433.78,434.01,430.01,432.93,-0.79,-0.18%,68710400
07/02/2021,431.67,434.1,430.5218,433.72,3.29,+0.76%,57697600
07/01/2021,428.87,430.6,428.8,430.43,2.37,+0.55%,53441000
06/30/2021,427.21,428.78,427.18,428.06,0.36,+0.08%,64827800
06/29/2021,427.88,428.56,427.13,427.7,0.23,+0.05%,35970500
06/28/2021,427.17,427.65,425.89,427.47,0.86,+0.20%,53159500
06/25/2021,425.9,427.0943,425.55,426.61,1.51,+0.36%,58129500
06/24/2021,424.89,425.55,424.62,425.1,2.5,+0.59%,45110200
06/23/2021,423.19,424.05,422.51,422.6,-0.51,-0.12%,49445400
06/22/2021,420.85,424,420.08,423.11,2.25,+0.53%,57700300
06/21/2021,416.8,421.06,415.93,420.86,5.94,+1.43%,72822000
06/18/2021,417.09,417.8281,414.7,414.92,-7.05,-1.67%,118676304
06/17/2021,421.67,423.02,419.32,421.97,-0.14,-0.03%,90949600
06/16/2021,424.63,424.87,419.92,422.11,-2.37,-0.56%,80386000
06/15/2021,425.42,425.46,423.54,424.48,-0.78,-0.18%,51508500
06/14/2021,424.43,425.37,423.1,425.26,0.95,+0.22%,42358400
06/11/2021,424.2,424.43,422.82,424.31,0.7,+0.17%,45570800
06/10/2021,422.96,424.63,421.55,423.61,1.96,+0.46%,51020100
06/09/2021,423.18,423.26,421.41,421.65,-0.63,-0.15%,48436300
06/08/2021,423.11,423.21,420.32,422.28,0.09,+0.02%,47134200
06/07/2021,422.59,422.78,421.19,422.19,-0.41,-0.10%,51555000
06/04/2021,420.75,422.92,418.8422,422.6,3.83,+0.91%,55938700
06/03/2021,417.85,419.99,416.28,418.77,-1.56,-0.37%,58138700
06/02/2021,420.37,421.23,419.29,420.33,0.66,+0.16%,49097000
06/01/2021,422.57,422.72,419.2,419.67,-0.37,-0.09%,54216600
05/28/2021,420.97,421.25,419.79,420.04,0.75,+0.18%,58520100
05/27/2021,420.17,420.72,418.9851,419.29,0.22,+0.05%,56707600
05/26/2021,418.87,419.61,417.76,419.07,0.83,+0.20%,43088600
05/25/2021,420.33,420.71,417.62,418.24,-0.93,-0.22%,57451300
05/24/2021,417.34,420.32,417.08,419.17,4.23,+1.02%,51376700
05/21/2021,416.87,418.2,414.45,414.94,-0.34,-0.08%,76578600
05/20/2021,411.8,416.625,411.67,415.28,4.42,+1.08%,78022200
05/19/2021,406.92,411.05,405.33,410.86,-1.08,-0.26%,106467000
05/18/2021,415.8,416.06,411.77,411.94,-3.58,-0.86%,59810200
05/17/2021,415.39,416.39,413.36,415.52,-1.06,-0.25%,65129200
05/14/2021,413.21,417.49,413.18,416.58,6.3,+1.54%,82201600
05/13/2021,407.07,412.35,407.02,410.28,4.87,+1.20%,106393904
05/12/2021,411.23,412.59,404,405.41,-8.8,-2.12%,134811008
05/11/2021,413.1,415.27,410.06,414.21,-3.73,-0.89%,116887904
05/10/2021,422.5,422.74,417.81,417.94,-4.18,-0.99%,81852400
05/07/2021,419.89,422.815,419.16,422.12,3.05,+0.73%,67733696
05/06/2021,415.83,419.21,413.675,419.07,3.32,+0.80%,74321296
05/05/2021,417.38,417.63,414.94,415.75,0.13,+0.03%,60284600
05/04/2021,416.07,416.6,411.67,415.62,-2.58,-0.62%,101591104
05/03/2021,419.43,419.84,417.665,418.2,0.9,+0.22%,68128200
04/30/2021,417.63,418.54,416.34,417.3,-2.76,-0.66%,85527000
04/29/2021,420.32,420.72,416.44,420.06,2.66,+0.64%,78544304
04/28/2021,417.81,419.01,416.9,417.4,-0.12,-0.03%,51238800
04/27/2021,417.93,418.14,416.3,417.52,-0.09,-0.02%,51303000
04/26/2021,417.44,418.22,416.8111,417.61,0.87,+0.21%,52182300
04/23/2021,412.87,418.25,412.79,416.74,4.47,+1.08%,73276096
04/22/2021,415.89,416.78,411.13,412.27,-3.8,-0.91%,97582704
04/21/2021,411.51,416.29,411.36,416.07,3.9,+0.95%,66792900
04/20/2021,413.91,415.0859,410.59,412.17,-3.04,-0.73%,81851800
04/19/2021,416.26,416.74,413.79,415.21,-2.05,-0.49%,78498400
04/16/2021,417.25,417.91,415.73,417.26,1.39,+0.33%,82037200
04/15/2021,413.74,416.16,413.69,415.87,4.42,+1.07%,60229800
04/14/2021,412.83,413.96,410.87,411.45,-1.41,-0.34%,61659900
04/13/2021,411.53,413.529,411.12,412.86,1.22,+0.30%,56550900
04/12/2021,410.85,411.93,410.2,411.64,0.15,+0.04%,56704900
04/09/2021,408.39,411.67,408.26,411.49,2.97,+0.73%,61104500
04/08/2021,407.93,408.58,406.93,408.52,1.93,+0.47%,57863100
04/07/2021,405.94,406.96,405.45,406.59,0.47,+0.12%,55836200
04/06/2021,405.76,407.24,405.4,406.12,-0.24,-0.06%,62020900
04/05/2021,403.46,406.94,403.38,406.36,5.75,+1.44%,91684704
04/01/2021,398.4,400.67,398.18,400.61,4.28,+1.08%,99682800
03/31/2021,395.34,398,395.31,396.33,1.6,+0.41%,112734200
03/30/2021,394.42,395.45,393.02,394.73,-1.05,-0.27%,76262200
03/29/2021,394.4,396.75,392.81,395.78,-0.2,-0.05%,108107600
03/26/2021,390.93,396.41,390.29,395.98,6.28,+1.61%,114409104
03/25/2021,385.98,390.55,383.9,389.7,2.18,+0.56%,116128600
03/24/2021,391,392.75,387.47,387.52,-1.98,-0.51%,97588600
03/23/2021,391.91,393.46,388.66,389.5,-3.09,-0.79%,90686496
03/22/2021,390.03,394.07,389.97,392.59,3.11,+0.80%,73778600
03/19/2021,389.88,391.569,387.15,389.48,-2,-0.51%,113624400
03/18/2021,394.48,396.72,390.75,391.48,-5.78,-1.45%,115349104
03/17/2021,394.53,398.12,393.3,397.26,1.35,+0.34%,97959200
03/16/2021,397.07,397.83,395.08,395.91,-0.5,-0.13%,73722496
03/15/2021,394.33,396.685,392.03,396.41,2.35,+0.60%,73592304
03/12/2021,392.07,394.21,391.2,394.06,0.53,+0.13%,64653500
03/11/2021,392.23,395.65,391.74,393.53,3.95,+1.01%,86245000
03/10/2021,389.69,391.4,388.1702,389.58,2.41,+0.62%,109899400
03/09/2021,385.85,389.91,381.7299,387.17,5.45,+1.43%,113633504
03/08/2021,384.66,387.68,381.42,381.72,-1.91,-0.50%,123149200
03/05/2021,380.46,384.76,372.64,383.63,6.93,+1.84%,152039600
03/04/2021,381.22,384,371.88,376.7,-4.72,-1.24%,183432992
03/03/2021,385.79,386.83,381.31,381.42,-5.12,-1.32%,119940200
03/02/2021,389.82,390.07,386,386.54,-3.04,-0.78%,79595296
03/01/2021,385.59,390.92,380.572,389.58,9.22,+2.42%,105348800
02/26/2021,384.35,385.58,378.23,380.36,-1.97,-0.52%,152701600
02/25/2021,390.41,391.88,380.7789,382.33,-9.44,-2.41%,146670496
02/24/2021,386.33,392.23,385.27,391.77,4.27,+1.10%,72433904
02/23/2021,384.66,388.945,380.2,387.5,0.47,+0.12%,107284096
02/22/2021,387.06,389.62,386.74,387.03,-3,-0.77%,67414096
02/19/2021,392.07,392.38,389.55,390.03,-0.69,-0.18%,83240896
02/18/2021,389.59,391.515,387.74,390.72,-1.67,-0.43%,59712700
02/17/2021,390.42,392.66,389.33,392.39,0.09,+0.02%,52806600
02/16/2021,393.96,394.17,391.53,392.3,-0.34,-0.09%,50972300
02/12/2021,389.85,392.9,389.77,392.64,1.93,+0.49%,50593200
02/11/2021,391.24,391.69,388.1,390.71,0.63,+0.16%,42913200
02/10/2021,392.12,392.28,387.5,390.08,-0.17,-0.04%,59154300
02/09/2021,389.61,390.89,389.17,390.25,-0.26,-0.07%,35551000
02/08/2021,389.27,390.56,388.35,390.51,2.8,+0.72%,38365100
02/05/2021,388.2,388.47,386.1444,387.71,1.52,+0.39%,48669700
02/04/2021,382.96,386.24,381.9655,386.19,4.34,+1.14%,47142500
02/03/2021,382.43,383.7,380.48,381.85,0.3,+0.08%,52427000
02/02/2021,379.65,383.22,376.3181,381.55,5.32,+1.41%,64450600
02/01/2021,373.72,377.34,370.376,376.23,6.16,+1.66%,75817600
01/29/2021,375.63,376.67,368.27,370.07,-7.56,-2.00%,126765104
01/28/2021,376.36,381.93,375.89,377.63,3.22,+0.86%,94198096
01/27/2021,380.22,380.32,372.01,374.41,-9.38,-2.44%,123351000
01/26/2021,385.41,385.85,383.54,383.79,-0.6,-0.16%,42665200
01/25/2021,383.67,384.77,378.46,384.39,1.51,+0.39%,70401904
01/22/2021,382.25,384.1256,381.835,382.88,-1.36,-0.35%,52136900
01/21/2021,384.49,384.95,383.25,384.24,0.35,+0.09%,47955800
01/20/2021,381.11,384.79,380.69,383.89,5.24,+1.38%,61836000
01/19/2021,378.34,379.23,376.75,378.65,2.95,+0.79%,51233300
01/15/2021,376.72,377.58,373.7,375.7,-2.76,-0.73%,107159904
01/14/2021,380.59,381.13,378.1,378.46,-1.33,-0.35%,49989100
01/13/2021,378.69,380.86,377.85,379.79,1.02,+0.27%,45303600
01/12/2021,378.89,379.86,376.36,378.77,0.08,+0.02%,52547700
01/11/2021,377.85,380.58,377.7189,378.69,-2.57,-0.67%,51176700
01/08/2021,380.59,381.49,377.1,381.26,2.16,+0.57%,71677200
01/07/2021,376.1,379.9,375.91,379.1,5.55,+1.49%,68766800
01/06/2021,369.71,376.98,369.12,373.55,2.22,+0.60%,107997600
01/05/2021,368.1,372.5,368.05,371.33,2.54,+0.69%,66426200
01/04/2021,375.31,375.45,364.82,368.79,-5.09,-1.36%,110210800
12/31/2020,371.78,374.66,371.232,373.88,1.89,+0.51%,78520704
12/30/2020,372.34,373.1,371.57,371.99,0.53,+0.14%,49455200
12/29/2020,373.81,374,370.83,371.46,-0.71,-0.19%,53680400
12/28/2020,371.74,372.59,371.07,372.17,3.17,+0.86%,39000400
12/24/2020,368.08,369.03,367.45,369,1.43,+0.39%,26457800
